,2021 Rank,Municipality,Designation[8],Primary County,Secondary County(ies),Population,Population,Population,Population
,2021 Rank,Municipality,Designation[8],Primary County,Secondary County(ies),2021 Estimate[8],2020 Census[1],2010 Census[9],2010-2020 Change
0,1,Houston,City,Harris,"Fort Bend, Montgomery",2288250,2304580,2099451,+9.77%
1,2,San Antonio,City,Bexar,"Medina, Comal",1451853,1434625,1327407,+8.08%
2,3,Dallas,City,Dallas,"Rockwall, Kaufman, Denton, Collin",1288457,1304379,1197816,+8.90%
3,4,Austin,City,Travis,"Williamson, Hays",964177,961855,790390,+21.69%
4,5,Fort Worth,City,Tarrant,"Denton, Parker, Wise",935508,918915,741206,+23.98%
5,6,El Paso,City,El Paso,,678415,678815,649121,+4.57%
6,7,Arlington,City,Tarrant,,392786,394266,365438,+7.89%
7,8,Corpus Christi,City,Nueces,"San Patricio, Aransas, Kleberg",317773,317863,305215,+4.14%
8,9,Plano,City,Collin,Denton,288253,285494,259841,+9.87%
9,10,Lubbock,City,Lubbock,,260993,257141,229573,+12.01%
10,11,Laredo,City,Webb,,256153,255205,236091,+8.10%
11,12,Irving,City,Dallas,,254198,256684,216290,+18.68%
12,13,Garland,City,Dallas,Collin,242035,246018,226876,+8.44%
13,14,Frisco,City,Collin,Denton,210719,200509,116989,+71.39%
14,15,McKinney,City,Collin,,202690,195308,131117,+48.96%
15,16,Amarillo,City,Potter,Randall,201234,200393,190695,+5.09%
16,17,Grand Prairie,City,Dallas,"Ellis, Tarrant",197347,196100,175396,+11.80%
17,18,Brownsville,City,Cameron,,187831,186738,175023,+6.69%
18,19,Killeen,City,Bell,,156261,153095,127921,+19.68%
19,20,Pasadena,City,Harris,,148626,151950,149043,+1.95%
20,21,Denton,City,Denton,,148146,139869,113383,+23.36%
21,22,Mesquite,City,Dallas,Kaufman,147691,150108,139824,+7.35%
22,23,McAllen,City,Hidalgo,,143920,142210,129877,+9.50%
23,24,Waco,City,McLennan,,139594,138486,124805,+10.96%
24,25,Carrollton,City,Dallas,"Denton, Collin",133251,133434,119097,+12.04%
25,26,Midland,City,Midland,Martin,131325,132524,111147,+19.23%
26,27,Pearland,City,Brazoria,"Fort Bend, Harris",125990,125828,91252,+37.89%
27,28,Abilene,City,Taylor,Jones,125070,125182,117063,+6.94%
28,29,Round Rock,City,Williamson,,123876,119468,99887,+19.60%
29,30,College Station,City,Brazos,,120019,120511,93857,+28.40%
30,31,Richardson,City,Dallas,Collin,116382,119469,99223,+20.40%
31,32,League City,City,Galveston,Harris,115595,114392,83560,+36.90%
32,33,Lewisville,City,Denton,,112944,111822,95290,+17.35%
33,34,Beaumont,City,Jefferson,,112556,115282,118296,−2.55%
34,35,Odessa,City,Ector,Midland,112483,114428,99940,+14.50%
35,36,Sugar Land,City,Fort Bend,,109373,111026,78817,+40.87%
36,37,Tyler,City,Smith,,107192,105995,96900,+9.39%
37,38,Allen,City,Collin,,106874,104627,84246,+24.19%
38,39,Wichita Falls,City,Wichita,,102988,102316,104553,−2.14%
39,40,Edinburg,City,Hidalgo,,102483,100243,77100,+30.02%
40,41,San Angelo,City,Tom Green,,99667,99893,93200,+7.18%
41,42,New Braunfels,City,Comal,Guadalupe,98857,90403,57740,+56.57%
42,43,Conroe,City,Montgomery,,94400,89956,56207,+60.04%
43,44,Bryan,City,Brazos,,86866,83980,76201,+10.21%
44,45,Mission,City,Hidalgo,,86223,85778,77058,+11.32%
45,46,Temple,City,Bell,,85416,82073,66102,+24.16%
46,47,Baytown,City,Harris,Chambers,82480,83701,71802,+16.57%
47,48,Longview,City,Gregg,Harrison,81762,81638,80455,+1.47%
48,49,Pharr,City,Hidalgo,,79697,79715,70400,+13.23%
49,50,Cedar Park,City,Williamson,Travis,78693,77595,48937,+58.56%
50,51,Flower Mound,Town,Denton,Tarrant,77243,75956,64669,+17.45%
51,52,Georgetown,City,Williamson,,75420,67176,47400,+41.72%
52,53,Missouri City,City,Fort Bend,Harris,74850,74259,67358,+10.25%
53,54,Mansfield,City,Tarrant,"Ellis, Johnson",74368,72602,56368,+28.80%
54,55,Harlingen,City,Cameron,,71925,71829,64849,+10.76%
55,56,North Richland Hills,City,Tarrant,,70209,69917,63343,+10.38%
56,57,San Marcos,City,Hays,"Caldwell, Guadalupe",68580,67553,44894,+50.47%
57,58,Leander,City,Williamson,Travis,67124,59202,26521,+123.23%
58,59,Pflugerville,City,Travis,Williamson,66884,65191,46936,+38.89%
