,City Rank in 2021,City,State,Pop Estimate (2021),Pop Census (2020),% Change,2020 land area (in km^2),2020 population density (per km^2)
0,1,New York[d],New York,8467513,8804190,-3.82,778.3,11312.0
1,2,Los Angeles,California,3849297,3898747,-1.27,1216.0,3206.0
2,3,Chicago,Illinois,2696555,2746388,-1.81,589.7,4657.0
3,4,Houston,Texas,2288250,2304580,-0.71,1658.6,1390.0
4,5,Phoenix,Arizona,1624569,1608139,1.02,1341.6,1199.0
5,6,Philadelphia[e],Pennsylvania,1576251,1603797,-1.72,348.1,4607.0
6,7,San Antonio,Texas,1451853,1434625,1.2,1291.9,1110.0
7,8,San Diego,California,1381611,1386932,-0.38,844.1,1643.0
8,9,Dallas,Texas,1288457,1304379,-1.22,879.6,1483.0
9,10,San Jose,California,983489,1013240,-2.94,461.8,2194.0
10,11,Austin,Texas,964177,961855,0.24,828.5,1161.0
11,12,Jacksonville[f],Florida,954614,949611,0.53,1935.5,491.0
12,13,Fort Worth,Texas,935508,918915,1.81,899.5,1022.0
13,14,Columbus,Ohio,906528,905748,0.09,569.8,1590.0
14,15,Indianapolis[g],Indiana,882039,887642,-0.63,936.5,948.0
15,16,Charlotte,North Carolina,879709,874579,0.59,798.5,1095.0
16,17,San Francisco[h],California,815201,873965,-6.72,121.5,7195.0
17,18,Seattle,Washington,733919,737015,-0.42,217.0,3396.0
18,19,Denver[i],Colorado,711463,715522,-0.57,396.5,1805.0
19,20,Oklahoma City,Oklahoma,687725,681054,0.98,1570.1,434.0
20,21,Nashville[j],Tennessee,678851,689447,-1.54,1232.3,559.0
21,22,El Paso,Texas,678415,678815,-0.06,669.3,1014.0
22,23,Washington[k],District of Columbia,670050,689545,-2.83,158.2,4358.0
23,24,Boston,Massachusetts,654776,675647,-3.09,125.1,5401.0
24,25,Las Vegas,Nevada,646790,641903,0.76,367.3,1748.0
25,26,Portland,Oregon,641162,652503,-1.74,345.8,1887.0
26,27,Detroit,Michigan,632464,639111,-1.04,359.2,1779.0
27,28,Louisville[l],Kentucky,628594,633045,-0.7,841.5,752.0
28,29,Memphis,Tennessee,628127,633104,-0.79,769.2,823.0
29,30,Baltimore[m],Maryland,576498,585708,-1.57,209.5,2800.0
30,31,Milwaukee,Wisconsin,569330,577222,-1.37,249.2,2300.0
31,32,Albuquerque,New Mexico,562599,564559,-0.35,485.1,1164.0
32,33,Fresno,California,544510,542107,0.44,298.4,1817.0
33,34,Tucson,Arizona,543242,542629,0.11,624.2,870.0
34,35,Sacramento,California,525041,524943,0.02,255.4,2056.0
35,36,Mesa,Arizona,509475,504258,1.03,359.2,1404.0
36,37,Kansas City,Missouri,508394,508090,0.06,815.1,624.0
37,38,Atlanta,Georgia,496461,498715,-0.45,350.4,1423.0
38,39,Omaha,Nebraska,487300,486051,0.26,366.7,1325.0
39,40,Colorado Springs,Colorado,483956,478961,1.04,506.1,946.0
40,41,Raleigh,North Carolina,469124,467665,0.31,381.0,1227.0
41,42,Virginia Beach[m],Virginia,457672,459470,-0.39,633.8,725.0
42,43,Long Beach,California,456062,466742,-2.29,131.3,3554.0
43,44,Miami,Florida,439890,442241,-0.53,93.2,4743.0
44,45,Oakland,California,433823,440646,-1.55,144.8,3044.0
45,46,Minneapolis,Minnesota,425336,429954,-1.07,139.9,3074.0
46,47,Tulsa,Oklahoma,411401,413066,-0.4,511.5,807.0
47,48,Bakersfield,California,407615,403455,1.03,388.0,1040.0
48,49,Wichita,Kansas,395699,397532,-0.46,419.6,947.0
49,50,Arlington,Texas,392786,394266,-0.38,248.4,1587.0
50,51,Aurora,Colorado,389347,386261,0.8,414.7,932.0
51,52,Tampa,Florida,387050,384959,0.54,295.3,1304.0
52,53,New Orleans[n],Louisiana,376971,383997,-1.83,439.0,875.0
53,54,Cleveland,Ohio,367991,372624,-1.24,201.2,1852.0
54,55,Anaheim,California,345940,346824,-0.25,130.3,2662.0
55,56,Honolulu[o],Hawaii,345510,350964,-1.55,156.7,2240.0
56,57,Henderson,Nevada,322178,317610,1.44,275.1,1155.0
57,58,Stockton,California,322120,320804,0.41,161.1,1992.0
58,59,Lexington[p],Kentucky,321793,322570,-0.24,734.5,439.0
59,60,Corpus Christi,Texas,317773,317863,-0.03,420.1,760.0
60,61,Riverside,California,317261,314998,0.72,210.3,1498.0
61,62,Santa Ana,California,309441,310227,-0.25,70.7,4388.0
62,63,Orlando,Florida,309154,307573,0.51,286.5,1074.0
63,64,Irvine,California,309031,307670,0.44,169.9,1810.0
64,65,Cincinnati,Ohio,308935,309317,-0.12,201.5,1535.0
65,66,Newark,New Jersey,307220,311549,-1.39,62.4,4991.0
66,67,Saint Paul,Minnesota,307193,311527,-1.39,134.7,2313.0
67,68,Pittsburgh,Pennsylvania,300431,302971,-0.84,143.5,2112.0
68,69,Greensboro,North Carolina,298263,299035,-0.26,335.7,891.0
